State,Year,population_state_total,population_ages_5–17,number_of_operating_public_schools_district,public_school_enrollment,average_daily_attendance_in_public_schools,number_of_public_high_school_graduates,total_instructional_staff_in_public_schools,number_of_teachers_in_public_schools,percentage_of_public_school_teachers_who_are_men,average_salaries_of_public_school_teachers,average_salaries_of_instructional_staff_in_public_schools,percentage_change_in_average_instructional_staff_salaries,per_capita_personal_income,percentage_change_in_per_capita_personal_income,personal_income_per_student_in_fall_enrollment,personal_income_per_student_in_average_daily_attendance,public_school_revenue_per_student_in_fall_enrollment,public_school_revenue_per_student_in_average_daily_attendance,per_capita_general_expenditures_of_state_governments_for_all_functions,per_capita_expenditures_of_state_local_governments_for_public_welfare,per_capita_expenditures_of_state_local_governments_for_health_hospitals,per_capita_expenditures_of_state_local_governments_for_police_fire_protection,per_capita_expenditures_of_state_local_governments_for_all_education,current_expenditures_for_public_schools_per_student_in_fall_enrollment
ALABAMA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,3608,929,911,221,1858,NA
ALABAMA,2002,4479,808,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,25595,3.6,157898,163364,NA,NA,3777,1013,963,231,1930,NA
ALABAMA,2003,4504,811,130,729339,702915,36627,55142,45920,21.3,38325,38291,-0.3,26307,5,162771,168734,7305,7580,3894,1022,1008,236,2086,6701
ALABAMA,2004,4525,798,131,731085,703819,36767,53352,46514,20.3,38186,39939,6.1,27630,NA,171617,178068,7967,8276,NA,NA,NA,NA,NA,7028
ALABAMA,2005,NA,NA,132,738450,711030,37996,57471,49692,20.6,40347,42384,NA,NA,NA,NA,NA,8598,8929,NA,NA,NA,NA,NA,7706
ALABAMA,2007,4628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1,NA,NA,NA,NA,4756,980,961,350,2286,NA
ALABAMA,2008,4677,811,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,33900,-3.7,214514,223274,NA,NA,4955,1154,1041,247,2243,NA
ALABAMA,2009,4709,814,132,741115,702131,41003,53549,46285,22,47571,49423,0.6,32661,4,210227,218326,9902,10452,5024,1261,1123,356,2208,9001
ALABAMA,2010,4780,628,132,741043,709225,45220,54001,46798,21.5,47803,49710,0.7,33710,3,217664,229749,9817,9817,5058,1237,1129,340,4672,8820
ALABAMA,2011,4803,808,132,736339,704681,45850,52573,45519,21.8,48003,50039,-0.3,34929,2.7,226420,236577,9557,9986,4983,1304,1136,329,2150,8597
ALABAMA,2012,4818,819,134,735605,676450,47133,53310,46300,22,47949,49875,1.7,35942,210227,235149,245714,9715,10565,1154,1041,247,2243,8820,8811
ALABAMA,2013,NA,132,135,736789,702571,44226,53560,46433,22.1,48720,50709,32661,-3.7,NA,218326,9817,9593,10060,NA,NA,NA,NA,NA,8821
ALASKA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,10456,1615,410,546,3287,NA
ALASKA,2002,641,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,32582,2.2,155398,182638,NA,NA,10975,1751,427,567,3397,NA
ALASKA,2003,648,141,53,133933,114917,7270,8761,7801,31.2,51736,53513,7.8,33015,3.2,159291,186994,9598,11186,10387,2089,368,422,3494,9808
ALASKA,2004,658,138,53,132970,115225,7540,8944,7917,31.5,52424,57673,4.7,34085,NA,166800,194401,9816,11327,NA,NA,NA,NA,NA,10042
ALASKA,2005,NA,NA,53,133437,115739,7721,8995,8004,30.9,53553,60376,NA,NA,NA,NA,NA,9930,11449,NA,NA,NA,NA,NA,10171
ALASKA,2007,683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,13336,2063,528,566,3157,NA
ALASKA,2008,688,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,44395,-2.6,233152,262341,NA,NA,14178,2178,655,249,3152,NA
ALASKA,2009,698,129,54,131662,117224,7712,9930,8865,31.5,59672,69864,3.3,43233,2.4,234661,258639,10692,12009,13708,2493,845,623,3245,11000
ALASKA,2010,710,102,54,129114,117585,8060,9316,8196,30,62918,62429,-0.7,43749,5.2,241846,266527,18478,18478,13776,2570,899,687,4393,16744
ALASKA,2011,723,143,54,127699,117995,8347,9345,8220,30,62425,62500,7.1,48114,3.6,269742,296190,18215,19713,14053,2669,864,670,3548,17032
ALASKA,2012,730,132,54,127937,118370,8414,10544,9618,26.4,65468,66919,1.7,49906,234661,285412,308886,19627,21213,2178,655,249,3152,16744,18192
ALASKA,2013,NA,54,54,127599,118758,8489,8820,7898,26.4,65891,68063,43233,-2.6,NA,258639,18478,20801,22350,NA,NA,NA,NA,NA,19244
ARIZONA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,3076,604,222,321,1617,NA
ARIZONA,2002,5441,1057,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,26680,2.6,158481,166358,NA,NA,3137,646,228,329,1648,NA
ARIZONA,2003,5579,1083,628,964003,921126,54567,52817,45532,25.9,41843,53479,2.5,27193,5.2,161325,169460,7313,7653,3404,866,350,343,1755,5347
ARIZONA,2004,5740,1097,628,986221,947262,60138,53618,45894,26.7,42905,54836,3.1,28609,NA,170460,178395,7627,7941,NA,NA,NA,NA,NA,5474
ARIZONA,2005,NA,NA,628,1010094,974052,64029,54537,46358,27.3,44672,56559,NA,NA,NA,NA,NA,7900,8192,NA,NA,NA,NA,NA,5585
ARIZONA,2007,6339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA,NA,4241,1112,414,480,1447,NA
ARIZONA,2008,6499,1191,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,34500,-1.6,207633,224232,NA,NA,4218,1219,456,250,1343,NA
ARIZONA,2009,6594,1214,627,1077800,1029246,82206,62239,56944,23.6,46952,46063,1.5,33957,0.6,199836,215111,9095,9524,4378,1330,491,541,1378,6170
ARIZONA,2010,6392,902,627,1071484,1029915,86966,63745,58305,23.6,47553,46752,2.4,33773,4.4,200955,210435,9597,9597,4338,1420,453,487,3796,6448
ARIZONA,2011,6483,1057,627,1072826,1047574,91637,65014,59715,23.6,48691,48691,2.5,35446,3.1,213944,222580,10034,10276,4094,1241,554,472,1391,6683
ARIZONA,2012,6538,1181,627,1069802,1058736,96043,66273,60986,23.6,49885,49885,0.2,36624,199836,223642,229033,10515,10625,1219,456,250,1343,6448,6949
ARIZONA,2013,NA,627,627,1078033,1073302,100686,64512,59308,23.6,45335,45335,33957,-1.6,NA,215111,9597,10889,10937,NA,NA,NA,NA,NA,7143
ARKANSAS,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3930,958,338,204,1768,NA
ARKANSAS,2002,2706,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,23470,3.6,141761,151160,NA,NA,4062,1042,356,212,1832,NA
ARKANSAS,2003,2728,496,308,452036,407438,28238,36240,31976,19,39314,41186,3,24226,6.2,147120,158823,7821,8677,4248,1095,390,218,1974,6005
ARKANSAS,2004,2750,491,254,452057,399913,28144,36964,32732,19,40495,42412,3.6,25724,NA,156647,173793,8193,9261,NA,NA,NA,NA,NA,6202
ARKANSAS,2005,NA,NA,252,453209,397264,28493,37678,33477,17.5,42768,43950,NA,NA,NA,NA,NA,9166,10456,NA,NA,NA,NA,NA,8402
ARKANSAS,2007,2835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,5028,1326,410,251,2211,NA
ARKANSAS,2008,2868,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,32695,-2.2,205630,244785,NA,NA,5037,1331,441,255,2258,NA
ARKANSAS,2009,2889,505,245,458237,371861,29834,40287,36153,16,46700,48400,2.3,31969,2.2,202739,245216,11238,13848,5419,1473,434,258,2396,11171
ARKANSAS,2010,2916,394,245,459419,365075,30130,34795,30700,19,46500,49500,0.8,32373,6.2,202710,216113,11849,11849,5739,1532,459,266,3790,11999
ARKANSAS,2011,2938,494,256,468190,464712,28792,35727,31083,20.9,46314,49927,0.7,34032,6.8,213897,227312,10879,10960,6013,1758,484,283,2578,9440
ARKANSAS,2012,2950,517,255,471532,456350,29714,36099,31333,21.1,46631,49680,1,36423,202739,229486,243926,10583,10935,1331,441,255,2258,11999,9384
ARKANSAS,2013,NA,245,255,474706,447148,30800,36345,31301,21.3,47319,50856,31969,-2.2,NA,245216,11849,10683,11341,NA,NA,NA,NA,NA,9523
CALIFORNIA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,NA,NA,NA,NA,4521,1016,599,409,2195,NA
CALIFORNIA,2002,35002,6907,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,32845,1.8,187122,193859,NA,NA,4883,1099,624,425,2264,NA
CALIFORNIA,2003,35463,6876,1059,6298769,6077861,348609,345450,305855,29.3,56444,56444,2.5,33389,5.3,189619,196603,9620,9970,4773,1122,676,429,2355,7584
CALIFORNIA,2004,35842,6962,1053,6322190,6095488,355314,338444,298106,28.5,57876,57876,3.9,35172,NA,200429,207557,9708,10069,NA,NA,NA,NA,NA,7942
CALIFORNIA,2005,NA,NA,1054,6309689,6068819,349191,342629,300223,28.4,59825,59825,NA,NA,NA,NA,NA,10207,10612,NA,NA,NA,NA,NA,8486
CALIFORNIA,2007,36553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,5680,1387,787,595,1994,NA
CALIFORNIA,2008,36580,6660,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,44038,-6.1,256662,265084,NA,NA,5711,1424,863,261,1982,NA
CALIFORNIA,2009,36962,6682,1042,6238244,6051938,383566,341402,291011,28,68203,68203,1.5,41353,2.1,244474,251239,10686,11015,5647,1402,855,666,1887,8846
CALIFORNIA,2010,37254,5097,1042,6219649,6081640,394959,315366,263630,28,67871,68948,-0.6,41893,5.6,250745,257047,11285,11285,6031,1795,880,577,3676,9313
CALIFORNIA,2011,37692,6907,1042,6204065,6131479,402722,269998,242308,28,68531,68531,2.3,44666,6.2,270627,272301,10536,10660,5661,1590,949,569,1911,9053
CALIFORNIA,2012,38000,6699,1042,6184927,6217322,408180,289327,248699,28,69324,70087,1.9,47505,244474,290178,290445,11662,11601,1424,863,261,1982,9313,9060
CALIFORNIA,2013,NA,1042,1028,6236672,6212410,440245,333766,292505,27.3,71396,71396,41353,-6.1,NA,251239,11285,10636,10677,NA,NA,NA,NA,NA,10329
COLORADO,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8,NA,NA,NA,NA,3287,627,453,332,2002,NA
COLORADO,2002,4501,830,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,34228,1.5,207454,223694,NA,NA,3253,680,474,346,2070,NA
COLORADO,2003,4548,825,178,757668,702661,43461,51047,44926,26.1,43319,45305,1.6,34542,4.5,208925,225281,8565,9235,3267,692,527,348,2108,8023
COLORADO,2004,4602,840,178,766707,711044,44617,51800,45174,25.8,43949,46052,1.1,36109,NA,219295,236463,8724,9407,NA,NA,NA,NA,NA,8337
COLORADO,2005,NA,NA,178,780708,724029,46128,52667,45841,26.6,44439,46544,NA,NA,NA,NA,NA,9318,10048,NA,NA,NA,NA,NA,8861
COLORADO,2007,4862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,3906,850,572,428,1617,NA
COLORADO,2008,4935,849,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,43509,-5,267526,288469,NA,NA,4143,830,573,276,1718,NA
COLORADO,2009,5025,863,178,832368,771938,46811,56878,48960,25.1,49202,51537,0,41317,2.3,251010,270660,10534,11359,4338,845,725,473,1808,9631
COLORADO,2010,5029,681,178,843315,782090,47314,56184,48478,24.8,49228,51546,-0.6,42107,5.9,255350,275340,10495,10495,4353,966,741,743,3463,9596
COLORADO,2011,5117,830,178,854234,792217,47459,55715,47927,24.8,49049,51258,1.7,44179,4.8,268028,289010,10217,11017,4322,1070,698,470,1805,10001
COLORADO,2012,5189,894,178,868619,805557,48109,57387,49240,24.8,49844,52147,-0.5,46315,251010,281353,303389,10393,11206,830,573,276,1718,9596,10884
COLORADO,2013,NA,178,178,876999,820462,48687,67383,56916,24.8,49615,51888,41317,-5,NA,270660,10495,10354,11068,NA,NA,NA,NA,NA,10723
CONNECTICUT,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9,NA,NA,NA,NA,5070,1004,550,339,2270,NA
CONNECTICUT,2002,3459,649,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,42521,0.6,259591,274120,NA,NA,5129,1091,579,354,2353,NA
CONNECTICUT,2003,3487,624,189,576205,547400,34440,50152,43032,25.9,57337,59846,-0.7,42810,6.3,261120,275620,12942,13623,4764,1193,500,349,2502,11774
CONNECTICUT,2004,3499,626,192,577398,547650,35430,51039,42547,26.3,57737,59431,5,45506,NA,276698,291259,13274,13995,NA,NA,NA,NA,NA,11874
CONNECTICUT,2005,NA,NA,190,576772,554472,36530,51839,42837,26.1,59304,62395,NA,NA,NA,NA,NA,13896,14455,NA,NA,NA,NA,NA,12436
CONNECTICUT,2007,3502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,5729,1481,547,427,1671,NA
CONNECTICUT,2008,3503,601,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,57248,-6.4,351431,356911,NA,NA,6076,1610,611,279,1739,NA
CONNECTICUT,2009,3518,598,195,568279,570613,40277,53141,43196,25.8,64350,68412,1.6,53573,4.8,334252,337306,16254,16188,6044,1568,605,444,1845,14472
CONNECTICUT,2010,3574,463,195,566030,574120,41291,52563,41464,25.8,69165,69165,0.4,55427,4.4,348733,347307,16871,16871,6214,1720,632,457,3455,14989
CONNECTICUT,2011,3581,649,199,554398,578319,38970,50873,41528,24.7,69465,69465,-0.1,57758,4.7,365991,360833,17800,17064,6341,1801,579,470,1872,15790
CONNECTICUT,2012,3592,600,196,550429,503553,43883,52381,41739,24.7,69397,69397,1.7,60223,334252,390168,374030,18512,20236,1610,611,279,1739,14989,16403
CONNECTICUT,2013,NA,195,196,545569,523480,43104,52772,42013,24.7,70583,70583,53573,-6.4,NA,337306,16871,19262,20075,NA,NA,NA,NA,NA,17039
DELAWARE,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,5249,818,405,266,2403,NA
DELAWARE,2002,806,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,33085,2.8,230876,249502,NA,NA,5350,884,419,275,2474,NA
DELAWARE,2003,818,145,32,117777,112233,6951,8730,7757,24.6,49366,51678,1,33822,5.1,237642,251219,10649,11175,5921,1229,420,269,2640,9860
DELAWARE,2004,830,140,32,119109,109752,6934,8966,7974,23.7,50595,52480,8.4,35559,NA,250703,274032,11915,12931,NA,NA,NA,NA,NA,11016
DELAWARE,2005,NA,NA,32,120938,113986,7275,8647,7731,24.5,54264,56865,NA,NA,NA,NA,NA,13160,13963,NA,NA,NA,NA,NA,12036
DELAWARE,2007,865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,7516,1652,478,365,2593,NA
DELAWARE,2008,876,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,40806,-5.3,286313,306558,NA,NA,7496,1703,544,280,2601,NA
DELAWARE,2009,885,147,37,126801,115690,7538,9895,8786,23.8,57080,59851,1.5,38626,1.9,274610,307736,15386,16864,7703,1836,522,394,2709,13496
DELAWARE,2010,898,113,37,128530,114683,7567,9780,8740,23.8,57934,60746,2,39425,4.2,279766,306635,16024,16024,7780,1935,501,354,3292,13960
DELAWARE,2011,907,138,37,129917,114051,7677,10006,8936,23.8,58800,61988,2,42805,3.1,302440,338958,16656,18973,7970,2064,540,366,2740,14396
DELAWARE,2012,917,149,37,131065,113875,7745,10311,9197,23.8,59679,63256,1.7,44031,274610,310804,354041,17348,19966,1703,544,280,2601,13960,14890
DELAWARE,2013,NA,37,37,132664,114722,7839,10161,9022,24,59305,64338,38626,-5.3,NA,307736,16024,17991,20805,NA,NA,NA,NA,NA,15362
DISTRICT OF COLUMBIA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,2570,975,916,2065,NA
DISTRICT OF COLUMBIA,2002,569,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2,46407,5.1,382811,418037,NA,NA,NA,2873,1045,982,2200,NA
DISTRICT OF COLUMBIA,2003,558,75,36,65099,59292,2236,6973,5676,22.1,57009,58817,2.5,48280,7.9,398700,449822,12703,13947,NA,3043,1534,1034,2471,13317
DISTRICT OF COLUMBIA,2004,554,75,41,62306,56747,2449,6266,5011,22.2,58456,60310,-2.2,52101,NA,443002,486389,14058,15435,NA,NA,NA,NA,NA,15073
DISTRICT OF COLUMBIA,2005,NA,NA,41,61484,55593,2240,6115,4955,22.2,59000,59000,NA,NA,NA,NA,NA,14123,15620,NA,NA,NA,NA,NA,15508
DISTRICT OF COLUMBIA,2007,588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,4062,900,1346,NA,NA
DISTRICT OF COLUMBIA,2008,590,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,68381,-0.9,514524,514524,NA,NA,NA,4416,1326,285,NA,NA
DISTRICT OF COLUMBIA,2009,600,77,41,75923,75923,1745,6763,5791,23,64548,65645,1.6,67775,4.6,530625,530625,12150,12150,NA,4451,1029,1418,NA,13519
DISTRICT OF COLUMBIA,2010,602,51,41,76210,76210,1693,6710,5835,23,66601,66691,3,71220,6.8,567445,567445,12278,12278,NA,4585,1006,1304,3263,13803
DISTRICT OF COLUMBIA,2011,618,78,41,77076,77076,1641,6935,6080,23.2,68720,68720,3.2,74480,2.5,604966,604966,12348,12348,NA,4521,1065,1226,NA,13952
DISTRICT OF COLUMBIA,2012,626,71,41,76017,76017,1589,6958,6156,23.2,70906,70906,3.2,75950,530625,624173,624173,12708,12708,4416,1326,285,NA,13803,14406
DISTRICT OF COLUMBIA,2013,NA,41,41,76744,76744,1537,7035,6233,23.2,73162,73162,67775,-0.9,NA,530625,12278,12768,12768,NA,NA,NA,NA,NA,14527
FLORIDA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2833,749,449,374,1545,NA
FLORIDA,2002,16692,2847,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,29549,1.4,197483,211901,NA,NA,2954,806,466,387,1586,NA
FLORIDA,2003,16999,2869,67,2591033,2420406,124716,164443,148191,22.3,40604,41865,2.4,30116,4.5,202062,217430,8167,8743,3110,927,505,413,1691,6708
FLORIDA,2004,17385,2912,67,2630229,2463323,126362,174794,158047,22.1,41590,42842,4,31460,NA,210648,226318,8676,9264,NA,NA,NA,NA,NA,7181
FLORIDA,2005,NA,NA,67,2669565,2494778,129943,179287,162849,21.8,43302,44560,NA,NA,NA,NA,NA,9398,10056,NA,NA,NA,NA,NA,7762
FLORIDA,2007,18251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,3773,1065,571,541,1265,NA
FLORIDA,2008,18424,2864,NA,NA,NA,NA,NA,NA,NA,NA,NA,–0.5,40054,-6.7,278117,294720,NA,NA,3563,1072,662,289,1194,NA
FLORIDA,2009,18538,2892,67,2635115,2485864,145793,183168,166055,21.2,46708,48070,-2.1,37387,4.1,264992,282555,10163,10773,3653,1180,707,607,1226,8963
FLORIDA,2010,18801,2211,67,2637224,2520054,152519,186691,169719,20.9,45732,47075,1.5,38345,3.6,274132,290367,10053,10053,3777,1235,697,559,3255,8983
FLORIDA,2011,19058,2847,67,2661945,2575917,145587,185106,168502,20.7,46479,47785,0.2,39896,2.1,288676,299605,9053,9355,3598,1186,692,562,1189,8436
FLORIDA,2012,19321,2931,67,2680778,2597649,152108,186003,169376,20.7,46598,47935,2.6,41041,264992,297884,307833,9210,9505,1072,662,289,1194,8983,8539
FLORIDA,2013,NA,67,67,2708062,2649812,152892,185329,169674,20.6,47780,49189,37387,-6.7,NA,282555,10053,9620,9832,NA,NA,NA,NA,NA,8982
GEORGIA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,3332,721,566,256,2032,NA
GEORGIA,2002,8544,1620,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,28689,0.7,166594,178749,NA,NA,3376,778,591,266,2092,NA
GEORGIA,2003,8676,1638,181,1522611,1424004,71811,119159,103621,18.7,45988,48203,1.4,28890,4.1,167553,180165,9118,9749,3461,975,577,269,2157,8109
GEORGIA,2004,8918,1654,184,1553437,1446964,74257,120962,104847,18.9,46526,48889,3.7,30074,NA,174396,186473,9397,10088,NA,NA,NA,NA,NA,8882
GEORGIA,2005,NA,NA,184,1598461,1486568,78300,124769,107807,19.3,48300,50705,NA,NA,NA,NA,NA,10041,10797,NA,NA,NA,NA,NA,8534
GEORGIA,2007,9545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,3734,966,688,342,1670,NA
GEORGIA,2008,9698,1808,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,35217,-3.2,207040,221681,NA,NA,3658,985,754,296,1686,NA
GEORGIA,2009,9829,1833,186,1667685,1600978,101138,134523,115700,19.8,53112,55741,-0.7,34081,1.9,198031,206279,11455,11932,3789,1002,733,379,1753,10594
GEORGIA,2010,9688,1385,192,1676412,1638203,95136,129792,112094,19.8,52815,55333,0.1,34531,5.9,201100,209479,11234,11234,3811,1031,740,337,3147,9847
GEORGIA,2011,9815,1620,196,1684430,1617053,96666,128378,110788,19.9,52938,55409,0,36366,2.2,212857,221726,10748,11196,3800,1051,703,348,1737,9586
GEORGIA,2012,9883,1815,198,1702758,1617620,98342,126298,108778,20,52880,55383,0.1,37229,198031,219154,228285,10603,11161,985,754,296,1686,9847,9426
GEORGIA,2013,NA,192,198,1723439,1628572,95022,126132,108842,20,52924,55420,34081,-3.2,NA,206279,11234,10212,10807,NA,NA,NA,NA,NA,9392
HAWAII,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,5386,920,525,289,1819,NA
HAWAII,2002,1241,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,29552,3.6,197685,214262,NA,NA,5486,1002,548,302,1889,NA
HAWAII,2003,1249,212,1,183609,167376,10501,13767,11262,25.6,45479,46867,1.5,30531,6.8,207394,224533,11469,12582,5611,1083,533,297,1971,8221
HAWAII,2004,1262,210,1,183185,169431,10698,13921,11365,25.7,46149,47575,7.7,32606,NA,224259,246009,11810,12768,NA,NA,NA,NA,NA,8639
HAWAII,2005,NA,NA,1,182767,168809,10654,13963,11409,25.5,49292,51248,NA,NA,NA,NA,NA,14793,16016,NA,NA,NA,NA,NA,9879
HAWAII,2007,1283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,7428,1264,817,378,2635,NA
HAWAII,2008,1287,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,–0.2,42418,-4.1,303569,328638,NA,NA,7762,1362,963,298,2747,NA
HAWAII,2009,1295,201,1,177800,163695,11451,14332,11682,25.6,55063,56241,0,40681,1.8,305944,330289,14509,15760,7164,1495,910,419,2393,11521
HAWAII,2010,1360,165,1,179122,163105,11909,12522,10851,25.5,55063,56241,-0.7,40952,4.7,314016,341074,14806,14806,7247,1562,951,413,3133,11659
HAWAII,2011,1375,212,1,177734,162612,11832,13408,11292,25.5,54070,55849,-0.2,43606,3.7,335498,368444,15057,16457,7264,1454,907,419,2516,11906
HAWAII,2012,1390,214,1,177441,161378,11927,13156,11198,25.5,54300,55757,5,44578,305944,341960,381077,15042,16539,1362,963,298,2747,11659,11799
HAWAII,2013,NA,1,1,185273,160533,12051,12852,11081,25.5,56291,58524,40681,-4.1,NA,330289,14806,14585,16833,NA,NA,NA,NA,NA,11537
IDAHO,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,3444,771,451,240,1804,NA
IDAHO,2002,1343,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,25597,0.7,139525,148481,NA,NA,3482,830,470,248,1852,NA
IDAHO,2003,1367,270,114,248743,233823,16027,15882,14071,28,41080,41080,2.6,25354,5.9,139464,148224,6633,7057,3651,883,500,251,1890,6372
IDAHO,2004,1395,269,114,249984,234996,15937,16017,14190,27.7,42122,42168,0.7,26839,NA,148367,157769,6687,7113,NA,NA,NA,NA,NA,6743
IDAHO,2005,NA,NA,114,261907,246717,16055,16355,14521,27.2,41150,41150,NA,NA,NA,NA,NA,7232,7677,NA,NA,NA,NA,NA,7042
IDAHO,2007,1499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,4466,1078,579,303,1821,NA
IDAHO,2008,1528,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,32979,-5.9,185167,197395,NA,NA,4605,1158,652,299,1853,NA
IDAHO,2009,1546,294,137,281003,263316,17212,17188,15424,27.1,46283,48255,2.4,31031,2.4,175357,186686,8460,9028,4540,1158,648,343,1761,7875
IDAHO,2010,1568,238,137,285236,267099,17501,17434,15669,27.1,47416,49419,2.4,31556,4.2,176430,188281,8755,8755,4672,1394,656,343,3094,8101
IDAHO,2011,1585,270,137,289486,271101,17790,17684,15897,27.1,48551,50611,2.4,33436,4.4,185649,198255,9055,9669,4437,1289,477,357,1655,8323
IDAHO,2012,1596,311,137,294077,275174,18070,17907,16111,27.1,49734,51837,2.4,35142,175357,193695,206830,9349,9991,1158,652,299,1853,8101,8528
IDAHO,2013,NA,137,137,298921,279425,18366,16930,15132,27.1,44465,53088,31031,-5.9,NA,186686,8755,9622,10293,NA,NA,NA,NA,NA,8722
ILLINOIS,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,NA,NA,NA,NA,3391,783,413,364,2062,NA
ILLINOIS,2002,12586,2365,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,32510,2.7,197961,222589,NA,NA,3475,854,433,382,2144,NA
ILLINOIS,2003,12649,2344,886,2060048,1868084,121598,143549,129965,23.1,54230,56707,2.3,33774,2.8,205276,224849,8854,9764,3604,907,425,390,2251,9854
ILLINOIS,2004,12712,2348,879,2097518,1890644,123615,145458,131779,23.1,55421,57989,1.8,34725,NA,214308,236330,9475,10512,NA,NA,NA,NA,NA,9327
ILLINOIS,2005,NA,NA,872,2111312,1905638,127349,146208,132142,23.1,58686,58012,NA,NA,NA,NA,NA,10050,11134,NA,NA,NA,NA,NA,9456
ILLINOIS,2007,12853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,4209,1258,390,499,1267,NA
ILLINOIS,2008,12843,2285,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,43154,-4.9,262316,286126,NA,NA,4428,1357,413,316,1296,NA
ILLINOIS,2009,12910,2283,869,2105779,1968137,131443,156347,141596,22.7,62077,62492,2.8,41058,2.8,248759,268955,11515,12320,4618,1384,443,540,1347,11457
