State,Year,Secondary Teachers [State],Pupil/Teacher Ratio [State],Full-Time Equivalent (FTE) Teachers [State],Grade 9 Dropouts [State],Grade 10 Dropouts [State],Grade 11 Dropouts [State],Grade 12 Dropouts [State],Grades 9-12 Dropouts [State]
KANSAS,1997-98,13469,14.9,31527,,,,,
KANSAS,1996-97,13133,,30875,,,,,
KANSAS,1995-96,12878,,30729,,,,,
KANSAS,1994-95,12763,,30579,,,,,
KANSAS,1993-94,12561,,30283,,,,,
KANSAS,1992-93,12199,,29753,,,,,
KANSAS,1991-92,11726,,29324,,,,,
KANSAS,1990-91,11530,,29140,,,,,
KANSAS,1989-90,11392,,28727,,,,,
KANSAS,1988-89,10851,,28122,,,,,
KANSAS,1987-88,10598,,27317,,,,,
KANSAS,1986-87,10785,,27064,,,,,
KENTUCKY,2013-14,9959.39,16.2,41820.21,1076,1769,1762,1615,6222
KENTUCKY,2012-13,10119.73,16.02,42769.46,1222,1566,1642,1243,5673
KENTUCKY,2011-12,9907.14,16.29,41859.68,1248,1704,1502,1062,5516
KENTUCKY,2010-11,9883.05,16.01,42041.84,1350,1768,1690,1150,5958
KENTUCKY,2009-10,9822.3,16.2,41980.96,1470,1829,1725,1307,6331
KENTUCKY,2008-09,10117,15.4,43451,1363,1847,1705,1607,6522
KENTUCKY,2007-08,10168,15.3,43536,1419,1762,1646,1336,6163
KENTUCKY,2006-07,10101,15.8,43371,1297,1747,1613,1385,6042
KENTUCKY,2005-06,9811,16,42413,1651,2034,1963,1518,7166
KENTUCKY,2004-05,9608,16.3,41463,2162,2484,2115,1796,8557
KENTUCKY,2003-04,9582,16.1,41246,,,,,
KENTUCKY,2002-03,16070,16.3,40662,,,,,
KENTUCKY,2001-02,15947,16.2,40375,,,,,
KENTUCKY,2000-01,11750,16.8,39589,,,,,
KENTUCKY,1999-00,11868,15.4,41954,,,,,
KENTUCKY,1998-99,11878,16.1,40803,,,,,
KENTUCKY,1997-98,11803,16.5,40488,,,,,
KENTUCKY,1996-97,11929,,39331,,,,,
KENTUCKY,1995-96,11698,,39120,,,,,
KENTUCKY,1994-95,11730,,38784,,,,,
KENTUCKY,1993-94,11146,,37324,,,,,
KENTUCKY,1992-93,11383,,37868,,,,,
KENTUCKY,1991-92,11479,,37571,,,,,
KENTUCKY,1990-91,11367,,36777,,,,,
KENTUCKY,1989-90,11680,,35731,,,,,
KENTUCKY,1988-89,11911,,35788,,,,,
KENTUCKY,1987-88,11889,,35239,,,,,
KENTUCKY,1986-87,11612,,34507,,,,,
LOUISIANA,2013-14,14787.1,15.32,46436.91,3229,1920,1663,1892,8704
LOUISIANA,2012-13,14778.38,15.29,46493.41,4593,2914,2461,2314,12282
LOUISIANA,2011-12,15442.58,14.46,48657.02,4931,3107,2666,2876,13580
LOUISIANA,2010-11,15459.73,14.32,48655.03,4872,2945,2714,3004,13535
LOUISIANA,2009-10,15354.51,13.92,49646.1,5035,3214,2989,3144,14382
LOUISIANA,2008-09,14804,13.9,49377,4813,3173,2883,3341,14210
LOUISIANA,2007-08,14568,14,48610,4785,3353,2854,4064,15056
LOUISIANA,2006-07,13765,14.7,45951,4735,3420,2893,3459,14507
LOUISIANA,2005-06,13268,14.7,44660,3823,3535,3069,3151,13578
LOUISIANA,2004-05,14825,14.7,49192,4934,4373,3589,3465,16361
LOUISIANA,2003-04,15083,14.4,50495,,,,,
LOUISIANA,2002-03,14805,14.6,50062,,,,,
LOUISIANA,2001-02,14742,14.6,49980,,,,,
LOUISIANA,2000-01,14797,14.9,49915,,,,,
LOUISIANA,1999-00,15107,15.1,50031,,,,,
LOUISIANA,1998-99,14406,15.6,49124,,,,,
LOUISIANA,1997-98,14280,16,48599,,,,,
LOUISIANA,1996-97,19412,,47334,,,,,
LOUISIANA,1995-96,19289,,46980,,,,,
LOUISIANA,1994-95,12176,,47599,,,,,
LOUISIANA,1993-94,10377,,46913,,,,,
LOUISIANA,1992-93,11010,,46904,,,,,
LOUISIANA,1991-92,12326,,46170,,,,,
LOUISIANA,1990-91,12280,,45401,,,,,
LOUISIANA,1989-90,12373,,44608,,,,,
LOUISIANA,1988-89,11933,,43203,,,,,
LOUISIANA,1987-88,12512,,42920,,,,,
LOUISIANA,1986-87,12502,,42929,,,,,
MAINE,2013-14,4744.04,11.91,15451.67,252,349,703,1260,2564
MAINE,2012-13,4660.83,12.2,15222.08,140,268,507,1349,2264
MAINE,2011-12,4601.82,12.69,14888.04,213,400,704,1325,2642
MAINE,2010-11,4788.1,12.29,15384.3,344,507,884,1519,3254
MAINE,2009-10,5153.6,11.59,16331.4,411,628,965,1336,3339
MAINE,2008-09,5031,12.1,15912,243,382,513,610,1748
MAINE,2007-08,5207,11.9,16558,250,428,472,532,1682
MAINE,2006-07,5159,11.5,16826,311,399,549,482,1741
MAINE,2005-06,5541,11.7,16684,297,432,518,512,1759
MAINE,2004-05,5460,11.9,16656,312,498,630,486,1926
MAINE,2003-04,5560,11.5,17621,,,,,
MAINE,2002-03,5487,12.1,16837,,,,,
MAINE,2001-02,5423,12.3,16741,,,,,
MAINE,2000-01,5327,12.5,16559,,,,,
MAINE,1999-00,5207,12.8,16349,,,,,
MAINE,1998-99,5043,13.3,15890,,,,,
MAINE,1997-98,4971,13.5,15700,,,,,
MAINE,1996-97,4913,,15551,,,,,
MAINE,1995-96,4839,,15392,,,,,
MAINE,1994-95,4880,,15404,,,,,
MAINE,1993-94,4904,,15344,,,,,
MAINE,1992-93,4947,,15375,,,,,
MAINE,1991-92,5034,,15416,,,,,
MAINE,1990-91,5122,,15513,,,,,
MAINE,1989-90,5165,,15206,,,,,
MAINE,1988-89,5051,,14593,,,,,
MAINE,1987-88,5018,,14204,,,,,
MAINE,1986-87,4428,,13685,,,,,
MARYLAND,2013-14,23278.68,14.78,58611.02,1998,2029,1686,1369,7082
MARYLAND,2012-13,23265.82,14.89,57718.49,2394,2157,1669,1709,7929
MARYLAND,2011-12,23400.78,14.83,57589.05,3066,2547,2083,2120,9816
MARYLAND,2010-11,24004.19,14.59,58428.47,3585,2650,2185,1878,10298
MARYLAND,2009-10,24127.05,14.51,58462.9,3660,2854,2165,1802,10481
MARYLAND,2008-09,24544,14.3,58940,3605,2636,2193,2034,10468
MARYLAND,2007-08,24871,14.3,59320,3299,2808,2480,2072,10659
MARYLAND,2006-07,24545,14.6,58443,2746,2408,2178,1730,9062
MARYLAND,2005-06,23664,15.2,56685,2779,2659,2316,1836,9590
MARYLAND,2004-05,22887,15.7,55101,2957,2621,2290,2062,9930
MARYLAND,2003-04,22448,15.7,55198,,,,,
MARYLAND,2002-03,22229,15.7,55382,,,,,
MARYLAND,2001-02,21462,16,53774,,,,,
MARYLAND,2000-01,20915,16.3,52433,,,,,
MARYLAND,1999-00,20237,16.6,50995,,,,,
MARYLAND,1998-99,24649,16.9,49840,,,,,
MARYLAND,1997-98,23940,17.2,48318,,,,,
MARYLAND,1996-97,23638,,47943,,,,,
MARYLAND,1995-96,22820,,47819,,,,,
MARYLAND,1994-95,20773,,46565,,,,,
MARYLAND,1993-94,19144,,44171,,,,,
MARYLAND,1992-93,20797,,44495,,,,,
MARYLAND,1991-92,20329,,43616,,,,,
MARYLAND,1990-91,19944,,42562,,,,,
MARYLAND,1989-90,20110,,41646,,,,,
MARYLAND,1988-89,20109,,40899,,,,,
MARYLAND,1987-88,20202,,40093,,,,,
MARYLAND,1986-87,20364,,39491,,,,,
MASSACHUSETTS,2013-14,24205.98,13.56,70489.56,2356,2045,1837,1847,8085
MASSACHUSETTS,2012-13,23958.24,13.52,70636.26,2185,2159,2096,2145,8585
MASSACHUSETTS,2011-12,23570.83,13.75,69342.38,2400,2663,2374,2520,9957
MASSACHUSETTS,2010-11,23312.96,13.9,68754.39,3224,2827,2599,2781,11431
MASSACHUSETTS,2009-10,23673.96,13.69,69909.18,2477,2529,2388,2613,9997
MASSACHUSETTS,2008-09,23813,13.6,70398,2541,2798,2813,2994,11146
MASSACHUSETTS,2007-08,23693,13.6,70719,2175,2746,2736,2976,10633
MASSACHUSETTS,2006-07,20793,13.2,73157,2639,2485,2163,2102,9389
MASSACHUSETTS,2005-06,20253,13.2,73596,–,–,–,–,†
MASSACHUSETTS,2004-05,31370,13.3,73399,2612,2419,2580,1769,9380
MASSACHUSETTS,2003-04,31825,13.6,72062,,,,,
MASSACHUSETTS,2002-03,38003,13.2,74214,,,,,
MASSACHUSETTS,2001-02,33655,14.1,68942,,,,,
MASSACHUSETTS,2000-01,30300,14.5,67432,,,,,
MASSACHUSETTS,1999-00,39452,12.5,77596,,,,,
MASSACHUSETTS,1998-99,34857,13.8,69752,,,,,
MASSACHUSETTS,1997-98,33319,14.1,67170,,,,,
MASSACHUSETTS,1996-97,31983,,64574,,,,,
MASSACHUSETTS,1995-96,30891,,62710,,,,,
MASSACHUSETTS,1994-95,29922,,60489,,,,,
MASSACHUSETTS,1993-94,29367,,58766,,,,,
MASSACHUSETTS,1992-93,28625,,57225,,,,,
