,,2012-13 (REVISED),,,,CLASSROOM TEACHERS 2012?13,,,,,OTHER NON-SUPERVISORY,,TOTAL,2012-13 AVERAGE SALARY FOR CLASSROOM TEACHERS,,,ALL TEACHERS % CHANGE VERSUS,TOTAL CURRENT EXPENDITURES FOR PUBLIC,,,CURRENT,CAPITAL,INTEREST ON,,,
,,FALL ENROLLMENT,,,ELEMENTARY SCHOOL,,,SECONDARY SCHOOL,,TOTAL,INSTRUC-,PRINCIPALS &,INSTRUC-,INSTR.,ELEM.,SEC.,2011-12,ELEMENTARY AND SECONDARY DAY SCHOOLS,PER STUDENT ,PER STUDENT ,EXPENDITURES,OUTLAY,SCHOOL DEBT,,,
REGION AND STATE,ELEMENTARY,SECONDARY,TOTAL,MEN,WOMEN,TOTAL,MEN,WOMEN,TOTAL,TEACHERS,TIONAL,SUPERVISORS,TIONAL STAFF,STAFF,,, (CURRENT $),AMOUNT ('000s),IN ADA,IN ENR,OTHER PROGRAMS,('000s),('000s),,,
NEVADA,"262,687 *","215,194","477,881 *","2,111 *","13,180 *","15,291 *","4,403 *","6,714 *","11,117 *","26,408 *","3,370 *","1,560","31,338 *","56,433","55,957","55,957",2.56,"4,062,646 *","8,340 *","8,501 *","26,259 *","901,446 *","321,994",,,
OREGON,"381,722 *","177,210","558,932 *","3,859 *","14,151 *","18,011 *","4,730 *","5,090 *","9,820 *","27,830 *","1,292 *","2,144","31,266 *","61,389","58,758","58,758",2.46,"6,290,253 *","12,596 *","11,254 *","27,430 *","394,942 *","298,162",,,
WASHINGTON,"562,225","486,869","1,049,094","4,917 *","25,188 *","30,105 *","10,391 *","12,986 *","23,377 *","53,482 *","3,148 *","3,524","60,155 *","56,509","53,571","53,571",2.56,"10,819,774 *","10,964 *","10,313 *","103,219 *","2,378,495 *","439,254",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
